admissions,mean_length_stay,year,diagnosis_code,description,chapter,category
6.0,4.8,1998,A00,Cholera,A,Infectious diseases
4.0,2.7,1999,A00,Cholera,A,Infectious diseases
17.0,6.3,2000,A00,Cholera,A,Infectious diseases
8.0,3.0,2001,A00,Cholera,A,Infectious diseases
14.0,7.1,2002,A00,Cholera,A,Infectious diseases
8.0,312.0,2003,A00,Cholera,A,Infectious diseases
2.0,0.5,2004,A00,Cholera,A,Infectious diseases
9.0,510.8,2005,A00,Cholera,A,Infectious diseases
3.0,8.0,2006,A00,Cholera,A,Infectious diseases
13.0,8.4,2007,A00,Cholera,A,Infectious diseases
7.0,4.0,2008,A00,Cholera,A,Infectious diseases
4.0,2.6,2009,A00,Cholera,A,Infectious diseases
3.0,3.7,2010,A00,Cholera,A,Infectious diseases
7.0,5.1,2011,A00,Cholera,A,Infectious diseases
10.0,3.3,2012,A00,Cholera,A,Infectious diseases
5.0,205.5,2013,A00,Cholera,A,Infectious diseases
12.0,6.0,2014,A00,Cholera,A,Infectious diseases
9.0,9.0,2015,A00,Cholera,A,Infectious diseases
14.0,3.0,2016,A00,Cholera,A,Infectious diseases
15.0,2.0,2017,A00,Cholera,A,Infectious diseases
13.0,4.0,2018,A00,Cholera,A,Infectious diseases
10.0,3.0,2019,A00,Cholera,A,Infectious diseases
6.0,6.0,2020,A00,Cholera,A,Infectious diseases
6.0,2.0,2021,A00,Cholera,A,Infectious diseases
10.0,6.6,2022,A00,Cholera,A,Infectious diseases
9.0,4.0,2023,A00,Cholera,A,Infectious diseases
197.0,7.2,1998,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
202.0,7.1,1999,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
201.0,8.0,2000,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
258.0,7.1,2001,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
178.0,8.2,2002,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
251.0,8.0,2003,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
271.0,8.2,2004,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
333.0,7.1,2005,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
358.0,6.9,2006,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
365.0,6.7,2007,A01,Typhoid and paratyphoid fevers,A,Infectious diseases
